PennId,2020-10-23_Canvas,2020-10-23_CodioAssign,2020-10-23_CodioLecture,2020-10-23_OHQ,2020-10-23_Piazza,2020-10-24_Canvas,2020-10-24_CodioAssign,2020-10-24_CodioLecture,2020-10-24_OHQ,2020-10-24_Piazza,2020-10-25_Canvas,2020-10-25_CodioAssign,2020-10-25_CodioLecture,2020-10-25_OHQ,2020-10-25_Piazza,2020-10-26_Canvas,2020-10-26_CodioAssign,2020-10-26_CodioLecture,2020-10-26_OHQ,2020-10-26_Piazza,2020-10-27_Canvas,2020-10-27_CodioAssign,2020-10-27_CodioLecture,2020-10-27_OHQ,2020-10-27_Piazza,2020-10-28_Canvas,2020-10-28_CodioAssign,2020-10-28_CodioLecture,2020-10-28_OHQ,2020-10-28_Piazza,2020-10-29_Canvas,2020-10-29_CodioAssign,2020-10-29_CodioLecture,2020-10-29_OHQ,2020-10-29_Piazza,grades,rank
10608372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,1
11237391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,98,149
11415821,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,96,189
11687051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,100,1
11695039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,98,149
11916125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
13278449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,100,1
13834055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,98,149
13928913,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,189
15045594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
